Month,Airline,DelayType,DelayValue
7,Envoy Air,NASDelay,3.61
7,Envoy Air,SecurityDelay,0.01
7,Envoy Air,LateAircraftDelay,5.76
7,Spirit ,CarrierDelay,2.71
7,Spirit ,WeatherDelay,0.64
7,Spirit ,NASDelay,9.99
7,Spirit ,SecurityDelay,0.03
7,Spirit ,LateAircraftDelay,4.71
7,SkyWest ,CarrierDelay,4.98
7,SkyWest ,WeatherDelay,0.85
7,SkyWest ,NASDelay,2.62
7,SkyWest ,SecurityDelay,0.01
7,SkyWest ,LateAircraftDelay,5.86
7,Frontier ,CarrierDelay,5.34
7,Frontier ,WeatherDelay,0.34
7,Frontier ,NASDelay,6.33
7,Frontier ,LateAircraftDelay,10.63
7,SkyWest ,CarrierDelay,4.5
7,SkyWest ,WeatherDelay,1.22
7,SkyWest ,NASDelay,4.45
7,SkyWest ,LateAircraftDelay,7.84
7,Virgin America,CarrierDelay,2.56
7,Virgin America,WeatherDelay,0.53
7,Virgin America,NASDelay,4.86
7,Virgin America,SecurityDelay,0.04
7,Virgin America,LateAircraftDelay,4.64
7,Southwest ,CarrierDelay,3.98
7,Southwest ,WeatherDelay,0.61
7,Southwest ,NASDelay,1.97
7,Southwest ,SecurityDelay,0.02
7,Southwest ,LateAircraftDelay,6.9
8,Delta ,CarrierDelay,4.42
8,Delta ,WeatherDelay,0.54
8,Delta ,NASDelay,2.76
8,Delta ,SecurityDelay,0.01
8,Delta ,LateAircraftDelay,3.51
8,American ,CarrierDelay,4.86
8,American ,WeatherDelay,0.86
8,American ,NASDelay,3.71
8,American ,SecurityDelay,0.03
8,American ,LateAircraftDelay,5.62
8,Alaska ,CarrierDelay,2.5
8,Alaska ,WeatherDelay,0.21
8,Alaska ,NASDelay,3.5
8,Alaska ,SecurityDelay,0.05
8,Alaska ,LateAircraftDelay,3.01
8,Jetblue ,CarrierDelay,6.42
8,Jetblue ,WeatherDelay,0.81
8,Jetblue ,NASDelay,5.3
8,Jetblue ,SecurityDelay,0.07
8,Jetblue ,LateAircraftDelay,9.46
8,Express Jet ,CarrierDelay,5.81
8,Express Jet ,WeatherDelay,0.38
8,Express Jet ,NASDelay,4.29
8,Express Jet ,LateAircraftDelay,5.86
8,Frontier ,CarrierDelay,4.69
8,Frontier ,WeatherDelay,0.22
8,Frontier ,NASDelay,5.29
8,Frontier ,LateAircraftDelay,9.48
8,Hawaiian ,CarrierDelay,2.8
8,Hawaiian ,WeatherDelay,0.09
8,Hawaiian ,NASDelay,0.08
8,Hawaiian ,SecurityDelay,0.01
8,Hawaiian ,LateAircraftDelay,1.65
8,Envoy Air,CarrierDelay,3.08
8,Envoy Air,WeatherDelay,1.03
8,Envoy Air,NASDelay,3.54
8,Envoy Air,SecurityDelay,0.01
8,Envoy Air,LateAircraftDelay,5.02
8,Spirit ,CarrierDelay,3.44
8,Spirit ,WeatherDelay,0.52
8,Spirit ,NASDelay,10.1
8,Spirit ,SecurityDelay,0.05
8,Spirit ,LateAircraftDelay,5.38
8,SkyWest ,CarrierDelay,5.05
8,SkyWest ,WeatherDelay,0.78
8,SkyWest ,NASDelay,2.85
8,SkyWest ,SecurityDelay,0.02
8,SkyWest ,LateAircraftDelay,6.05
8,SkyWest ,CarrierDelay,3.95
8,SkyWest ,WeatherDelay,1.03
8,SkyWest ,NASDelay,4.68
8,SkyWest ,SecurityDelay,0.01
8,SkyWest ,LateAircraftDelay,6.85
8,Virgin America,CarrierDelay,2.6
8,Virgin America,WeatherDelay,0.34
8,Virgin America,NASDelay,5.83
8,Virgin America,SecurityDelay,0.04
8,Virgin America,LateAircraftDelay,5.41
8,Southwest ,CarrierDelay,3.15
8,Southwest ,WeatherDelay,0.51
8,Southwest ,NASDelay,1.88
8,Southwest ,SecurityDelay,0.02
8,Southwest ,LateAircraftDelay,5.34
9,Envoy Air,CarrierDelay,2.48
9,Envoy Air,WeatherDelay,0.8
9,Envoy Air,NASDelay,3.05
9,Envoy Air,SecurityDelay,0.01
9,Envoy Air,LateAircraftDelay,3.68
9,Spirit ,CarrierDelay,2.39
9,Spirit ,WeatherDelay,0.25
9,Spirit ,NASDelay,5.19
9,Spirit ,SecurityDelay,0.02
9,Spirit ,LateAircraftDelay,2.7
9,Delta ,CarrierDelay,2.46
9,Delta ,WeatherDelay,0.39
9,Delta ,NASDelay,1.72
9,Delta ,SecurityDelay,0.01
9,Delta ,LateAircraftDelay,1.49
9,SkyWest ,CarrierDelay,3.36
9,SkyWest ,WeatherDelay,0.62
9,SkyWest ,NASDelay,2.04
9,SkyWest ,SecurityDelay,0.01
9,SkyWest ,LateAircraftDelay,3.5
9,Express Jet ,CarrierDelay,4.32
9,Express Jet ,WeatherDelay,0.25
9,Express Jet ,NASDelay,3.28
9,Express Jet ,LateAircraftDelay,3.76
9,Frontier ,CarrierDelay,4.38
9,Frontier ,WeatherDelay,0.11
9,Frontier ,NASDelay,3.17
9,Frontier ,LateAircraftDelay,7.18
9,SkyWest ,CarrierDelay,2.66
9,SkyWest ,WeatherDelay,0.47
9,SkyWest ,NASDelay,3.33
9,SkyWest ,SecurityDelay,0
9,SkyWest ,LateAircraftDelay,3.8
9,Virgin America,CarrierDelay,1.93
9,Virgin America,WeatherDelay,0.36
9,Virgin America,NASDelay,3.33
9,Virgin America,SecurityDelay,0.07
9,Virgin America,LateAircraftDelay,3.09
9,Southwest ,CarrierDelay,1.93
9,Southwest ,WeatherDelay,0.25
9,Southwest ,NASDelay,1.17
9,Southwest ,SecurityDelay,0.02
9,Southwest ,LateAircraftDelay,2.92
9,American ,CarrierDelay,3.39
9,American ,WeatherDelay,0.45
9,American ,NASDelay,2.48
9,American ,SecurityDelay,0.04
9,American ,LateAircraftDelay,3.27
9,Alaska ,CarrierDelay,1.9
9,Alaska ,WeatherDelay,0.14
9,Alaska ,NASDelay,2.29
9,Alaska ,SecurityDelay,0.04
9,Alaska ,LateAircraftDelay,1.68
9,Jetblue ,CarrierDelay,4
9,Jetblue ,WeatherDelay,0.41
9,Jetblue ,NASDelay,3.73
9,Jetblue ,SecurityDelay,0.02
9,Jetblue ,LateAircraftDelay,4.87
9,Hawaiian ,CarrierDelay,2.47
9,Hawaiian ,WeatherDelay,0.11
9,Hawaiian ,NASDelay,0.07
9,Hawaiian ,SecurityDelay,0.01
9,Hawaiian ,LateAircraftDelay,1.16
10,American ,CarrierDelay,3.37
10,American ,WeatherDelay,0.37
10,American ,NASDelay,2.33
10,American ,SecurityDelay,0.01
10,American ,LateAircraftDelay,3.46
10,Alaska ,CarrierDelay,1.96
10,Alaska ,WeatherDelay,0.16
10,Alaska ,NASDelay,2.49
10,Alaska ,SecurityDelay,0.02
10,Alaska ,LateAircraftDelay,2.24
10,Jetblue ,CarrierDelay,3.98
10,Jetblue ,WeatherDelay,0.2
10,Jetblue ,NASDelay,3.52
10,Jetblue ,SecurityDelay,0.02
10,Jetblue ,LateAircraftDelay,4.17
10,Delta ,CarrierDelay,2.35
10,Delta ,WeatherDelay,0.17
10,Delta ,NASDelay,1.53
10,Delta ,SecurityDelay,0.01
10,Delta ,LateAircraftDelay,1.37
10,SkyWest ,CarrierDelay,2.58
10,SkyWest ,WeatherDelay,0.27
10,SkyWest ,NASDelay,3.17
10,SkyWest ,SecurityDelay,0
10,SkyWest ,LateAircraftDelay,3.77
10,SkyWest ,CarrierDelay,4.05
10,SkyWest ,WeatherDelay,0.62
10,SkyWest ,NASDelay,2.07
10,SkyWest ,SecurityDelay,0.01
10,SkyWest ,LateAircraftDelay,4.24
10,Virgin America,CarrierDelay,2.23
10,Virgin America,WeatherDelay,0.33
10,Virgin America,NASDelay,6.15
10,Virgin America,SecurityDelay,0.02
10,Virgin America,LateAircraftDelay,5.02
10,Southwest ,CarrierDelay,2.14
10,Southwest ,WeatherDelay,0.15
10,Southwest ,NASDelay,1.19
10,Southwest ,SecurityDelay,0.01
10,Southwest ,LateAircraftDelay,3.11
10,Express Jet ,CarrierDelay,4.44
10,Express Jet ,WeatherDelay,0.23
10,Express Jet ,NASDelay,3.27
10,Express Jet ,LateAircraftDelay,3.97
10,Frontier ,CarrierDelay,4.06
10,Frontier ,WeatherDelay,0.1
10,Frontier ,NASDelay,3.29
10,Frontier ,LateAircraftDelay,7.16
10,Hawaiian ,CarrierDelay,2.52
10,Hawaiian ,WeatherDelay,0.12
10,Hawaiian ,NASDelay,0.13
10,Hawaiian ,SecurityDelay,0.03
10,Hawaiian ,LateAircraftDelay,1.48
10,Envoy Air,CarrierDelay,2.46
10,Envoy Air,WeatherDelay,0.85
10,Envoy Air,NASDelay,2.52
10,Envoy Air,SecurityDelay,0.01
10,Envoy Air,LateAircraftDelay,3.64
10,Spirit ,CarrierDelay,1.64
10,Spirit ,WeatherDelay,0.14
10,Spirit ,NASDelay,5.27
10,Spirit ,SecurityDelay,0.03
10,Spirit ,LateAircraftDelay,1.97
11,American ,CarrierDelay,3.2
11,American ,WeatherDelay,0.29
11,American ,NASDelay,1.99
11,American ,SecurityDelay,0.03
11,American ,LateAircraftDelay,3
11,Alaska ,CarrierDelay,2.02
11,Alaska ,WeatherDelay,0.36
11,Alaska ,NASDelay,2.72
11,Alaska ,SecurityDelay,0.04
11,Alaska ,LateAircraftDelay,2.63
11,Jetblue ,CarrierDelay,4.13
11,Jetblue ,WeatherDelay,0.1
11,Jetblue ,NASDelay,2.77
11,Jetblue ,SecurityDelay,0.04
11,Jetblue ,LateAircraftDelay,4.05
11,Delta ,CarrierDelay,2.37
11,Delta ,WeatherDelay,0.34
11,Delta ,NASDelay,1.59
11,Delta ,SecurityDelay,0.01
11,Delta ,LateAircraftDelay,1.57
11,SkyWest ,CarrierDelay,2.72
11,SkyWest ,WeatherDelay,0.43
11,SkyWest ,NASDelay,3.2
11,SkyWest ,SecurityDelay,0
11,SkyWest ,LateAircraftDelay,4.06
11,Virgin America,CarrierDelay,2.08
11,Virgin America,WeatherDelay,0.44
11,Virgin America,NASDelay,3.37
11,Virgin America,SecurityDelay,0.04
11,Virgin America,LateAircraftDelay,3.15
11,Southwest ,CarrierDelay,2.28
11,Southwest ,WeatherDelay,0.16
11,Southwest ,NASDelay,1.06
11,Southwest ,SecurityDelay,0.03
11,Southwest ,LateAircraftDelay,3.21
11,SkyWest ,CarrierDelay,3.92
11,SkyWest ,WeatherDelay,1.02
11,SkyWest ,NASDelay,2.44
11,SkyWest ,SecurityDelay,0.02
11,SkyWest ,LateAircraftDelay,4.48
11,Express Jet ,CarrierDelay,4.62
11,Express Jet ,WeatherDelay,0.29
