FlightDate,DepDelay,ArrDelay,Cancelled
2016-05-29,22,20,0
2016-05-30,24,24,0
2016-05-31,34,34,1
2016-06-01,35,34,1
2016-06-02,38,39,2
2016-06-03,36,35,0
2016-06-04,30,29,0
2016-06-05,38,38,0
2016-06-06,33,33,0
2016-06-07,32,32,0
2016-06-08,34,34,0
2016-06-09,36,37,0
2016-06-10,36,36,0
2016-06-11,35,32,0
2016-06-12,38,37,1
2016-06-13,42,41,1
2016-06-14,43,44,1
2016-06-15,40,39,0
2016-06-16,41,42,1
2016-06-17,40,39,0
2016-06-18,37,33,0
2016-06-19,32,28,0
2016-06-20,35,32,0
2016-06-21,39,40,1
2016-06-22,40,39,2
2016-06-23,51,53,1
2016-06-24,41,39,0
2016-06-25,35,31,0
2016-06-26,42,41,0
2016-06-27,36,36,0
2016-06-28,46,47,2
2016-06-29,39,36,1
2016-06-30,40,39,1
2016-07-01,44,44,2
2016-07-02,38,32,0
2016-07-03,24,21,0
2016-07-04,23,21,0
2016-07-05,37,37,0
2016-07-06,45,45,0
2016-07-07,38,38,1
2016-07-08,40,41,2
2016-07-09,36,32,0
2016-07-10,35,33,0
2016-07-11,33,34,0
2016-07-12,32,32,0
2016-07-13,39,40,2
2016-07-14,45,44,1
2016-07-15,41,39,0
2016-07-16,34,31,0
2016-07-17,38,34,0
2016-07-18,42,43,1
2016-07-19,40,40,0
2016-07-20,35,35,4
2016-07-21,47,47,6
2016-07-22,50,47,4
2016-07-23,45,41,1
2016-07-24,39,36,1
2016-07-25,41,40,4
2016-07-26,41,37,1
2016-07-27,39,38,1
2016-07-28,45,45,4
2016-07-29,46,43,2
2016-07-30,46,43,2
2016-07-31,48,46,1
2016-08-01,46,43,1
2016-08-02,41,41,1
2016-08-03,35,32,0
2016-08-04,40,39,0
2016-08-05,38,36,0
2016-08-06,36,33,0
2016-08-07,37,35,0
2016-08-08,44,42,5
2016-08-09,43,40,5
2016-08-10,43,42,2
2016-08-11,40,40,1
2016-08-12,41,41,3
2016-08-13,42,38,1
2016-08-14,38,36,1
2016-08-15,41,39,1
2016-08-16,40,41,1
2016-08-17,36,38,0
2016-08-18,45,49,0
2016-08-19,43,46,2
