Date,Airline,TotalCancelled
2018-Jul,SkyWest Airlines,394
2018-Jul,Republic Airways,1167
2018-Jul,Alaska Airlines,202
2018-Jul,Frontier Airlines,409
2018-Jul,SkyWest Airlines,642
2018-Aug,SkyWest Airlines,745
2018-Aug,Spirit Airlines,210
2018-Aug,Frontier Airlines,268
2018-Aug,American Airlines,1417
2018-Aug,Jetblue Airways,700
2018-Aug,Express Jet Airlines,636
2018-Aug,Allegiant Air,13
2018-Aug,Hawaiian Airlines,39
2018-Aug,Envoy Air,1200
2018-Aug,PSA Airlines,555
2018-Aug,SkyWest Airlines,1098
2018-Aug,Southwest Airlines,1928
2018-Aug,Endeavor Air,1118
2018-Aug,Delta Air Lines,156
2018-Aug,Mesa Airlines,469
2018-Aug,Republic Airways,1495
2018-Aug,Alaska Airlines,306
2018-Sep,Endeavor Air,143
2018-Sep,Jetblue Airways,260
2018-Sep,Southwest Airlines,1049
2018-Sep,Mesa Airlines,662
2018-Sep,Republic Airways,582
2018-Sep,Express Jet Airlines,284
2018-Sep,American Airlines,1442
2018-Sep,Alaska Airlines,168
2018-Sep,Delta Air Lines,112
2018-Sep,Hawaiian Airlines,49
2018-Sep,SkyWest Airlines,204
2018-Sep,Frontier Airlines,326
2018-Sep,Allegiant Air,65
2018-Sep,Envoy Air,876
2018-Sep,Spirit Airlines,142
2018-Sep,PSA Airlines,1224
2018-Sep,SkyWest Airlines,544
2018-Oct,American Airlines,676
2018-Oct,Alaska Airlines,180
2018-Oct,Jetblue Airways,142
2018-Oct,Delta Air Lines,74
2018-Oct,Frontier Airlines,183
2018-Oct,Allegiant Air,26
2018-Oct,SkyWest Airlines,64
2018-Oct,Southwest Airlines,648
2018-Oct,Mesa Airlines,532
2018-Oct,Republic Airways,221
2018-Oct,Hawaiian Airlines,13
2018-Oct,Express Jet Airlines,330
2018-Oct,SkyWest Airlines,311
2018-Oct,Endeavor Air,89
2018-Oct,Envoy Air,523
2018-Oct,Spirit Airlines,32
2018-Oct,PSA Airlines,441
2018-Nov,Endeavor Air,255
2018-Nov,American Airlines,510
2018-Nov,Alaska Airlines,300
2018-Nov,Jetblue Airways,175
2018-Nov,Delta Air Lines,104
2018-Nov,Express Jet Airlines,413
2018-Nov,Frontier Airlines,113
2018-Nov,Hawaiian Airlines,22
2018-Nov,Envoy Air,779
2018-Nov,Spirit Airlines,76
2018-Nov,PSA Airlines,358
2018-Nov,Southwest Airlines,938
2018-Nov,Mesa Airlines,220
2018-Nov,Republic Airways,557
2018-Nov,Allegiant Air,30
2018-Nov,SkyWest Airlines,847
2018-Nov,SkyWest Airlines,557
2018-Dec,Southwest Airlines,931
