Airport,AvgDist,AvgDepDelay,OnTimeDepRate,CancellationRate,AvgArrDelay,OnTimeArrRate
LNK,453.0047980188825,7.179229221482743,78,1,4.459961315280464,65
LRD,368.5591797888908,6.707475341754629,79,2,4.211505190311419,68
LSE,178.70446224256293,7.713157894736842,78,2,4.5145275680622285,67
LWB,327.24415793714746,20.844480257856567,68,3,13.213365539452496,60
LWS,461.26284067085953,-1.2337526205450733,90,0,-7.373298429319371,83
LYH,175.0,9.084300858152448,72,3,7.787588294651867,60
MAF,428.0938842624516,7.0878905214024295,73,2,5.915782774713619,63
MBS,188.51507241495452,8.078477601886156,80,2,5.657967842410978,70
MCI,761.2602339543744,7.3832397433195736,67,1,3.233344763903636,65
MCO,967.7460205239618,12.192814185929373,62,1,5.3749243360918735,64
MDT,554.677009808415,9.765652213768448,72,2,4.452424603538363,67
MDW,799.1562965469769,11.833636068540171,49,2,2.177744573475646,66
MEI,340.12247697432883,18.283754654125026,66,1,14.63572267920094,60
MEM,591.2421899131916,8.410193321616871,70,1,4.595637029856946,64
MFE,430.01646000219466,7.47827279710304,77,2,7.024913570762224,64
MFR,560.6791237113403,12.320596145226355,70,1,5.704861111111111,65
MGM,274.1439236561932,10.844715658270578,69,1,8.257320953184857,64
MHK,460.38702254947077,8.68783555760086,78,3,7.520085863232137,62
MHT,633.8972335167025,6.134391028196338,74,2,4.975840531561462,64
MIA,1054.2789397167758,11.650238840642139,63,1,4.313897550568252,65
MKE,734.3062053137965,7.984981652648702,70,1,3.727770807457332,66
MKG,118.1723259762309,7.225806451612903,76,5,6.664780763790665,66
MLB,455.60683939997904,6.157977551662645,76,1,1.9710418633931381,69
MLI,451.494446158593,9.484521238300935,73,2,5.94806663924311,64
MLU,353.07059226292364,9.448134200616227,76,1,6.04573776104074,68
MMH,286.4876712328767,21.073972602739726,65,18,12.160730593607306,65
MOB,410.5882689229362,8.379602103818888,74,2,6.586185865670504,65
MOT,539.3022702488352,8.018340438187767,78,1,2.7164386278009123,70
MQT,326.3367521367521,17.30534188034188,75,3,10.715139867606235,67
MRY,340.8295721249323,8.36438586989228,75,2,6.266016964446851,66
MSN,480.9314992409375,7.901562557855371,76,2,4.034602140185878,67
MSO,702.4929429849078,5.856414197875909,75,0,0.7701446641973583,68
MSP,788.9413392449152,7.762495030847649,72,0,1.586022722449384,70
MSY,778.2413983045699,9.397640330661526,63,1,3.695780192542131,65
MTJ,646.6383703944165,9.012011037169291,72,2,4.758525495290678,62
MVY,171.81589479702689,21.505431675242995,51,1,2.4299599771297884,69
MYR,468.16983297519045,9.375,70,2,4.20182164485251,68
OAJ,323.63541778397513,10.136758554113483,72,2,8.272308022308023,61
OAK,750.5037338818446,8.812191909988979,54,1,3.668016081522172,62
OGD,548.8528138528138,20.805194805194805,30,0,6.467532467532467,58
OGG,1280.9098194434264,3.261729661934895,69,0,0.333564070198298,66
OGS,770.3978978978979,20.42942942942943,68,5,15.422788605697152,70
OKC,613.7174117499529,7.705425627521056,71,1,5.9906586000438855,62
OMA,702.4988341932524,7.281881771277144,71,1,3.7781429668333426,65
OME,513.5594018277485,-2.391581279423982,76,3,-1.3439490445859872,70
ONT,571.1528707697332,8.161862037828648,63,1,5.212802950980298,62
ORD,756.6739930925135,12.691486980476895,63,2,7.134673669760762,65
ORF,490.20966273923074,10.738357957733308,69,2,5.8247762012817,64
ORH,993.0318150606546,14.982375829709316,65,3,8.724177071509649,63
OTH,475.2517985611511,26.60431654676259,57,4,17.964093357271096,51
OTZ,391.97563676633445,-1.2812846068660022,74,3,-1.4507198228128462,72
OWB,706.0,20.854460093896712,55,2,6.632075471698113,58
PAE,819.8041871921182,10.739532019704434,75,1,3.2330873308733086,64
PAH,297.5904993909866,10.95006090133983,76,4,7.205502800097395,67
PBG,1041.8793253852864,12.831927886013377,66,1,9.099185573007562,66
PBI,917.6973791215428,12.766286887555859,63,1,5.568619715134583,63
PDX,1085.4593252705283,5.213484538845522,70,0,1.369881096365884,66
PGD,973.0642311585534,7.980767461120824,71,0,11.627541164566278,60
PGV,203.0,17.924180327868854,62,7,15.74795081967213,57
PHF,427.6532842516968,9.985505579201657,71,2,5.832623950304843,66
PHL,943.0626856149768,10.009789471368546,66,1,4.544479202414579,66
PHX,957.5840998861723,8.26324340626733,62,0,3.125202775501071,64
PIA,433.45428571428573,9.977714285714285,73,2,6.1869523809523805,65
PIB,182.08348134991118,11.938721136767318,74,2,13.243931320307874,64
PIE,869.3296298731182,5.217671421997239,77,0,8.133031139140718,66
PIH,150.027358680346,-0.7581975457654395,84,0,-2.456338028169014,71
PIR,333.4018264840183,13.617960426179604,76,4,9.074355083459787,72
PIT,690.23758448346,7.095914148646314,71,1,4.0908797129469185,66
PLN,208.61646546605976,11.935088066495151,75,3,4.3732436176528795,74
PNS,471.3456536133182,6.761941922058267,73,1,4.684521698001656,65
PPG,2599.0133779264215,29.346153846153847,60,0,13.633779264214047,55
PRC,452.9095580678314,13.113052415210689,67,1,4.214579055441479,68
PSC,655.8367814667988,6.014990089197225,80,1,3.2936512852276247,67
PSE,1363.175142644505,7.698089804018854,70,2,13.359792284866469,52
PSG,77.0,-2.230981256890849,77,1,2.6668503720033065,65
PSM,1166.9368131868132,17.63186813186813,59,1,3.906206896551724,66
PSP,697.2469874864823,8.8895025490499,72,1,4.246141975308642,63
PUB,137.2126276694522,7.251624883936862,79,2,5.190719257540604,72
PVD,691.7468936282951,8.084302556630018,69,2,5.3870865182084335,64
PVU,500.2535211267606,15.572769953051644,60,0,5.2964705882352945,67
PWM,524.9833909017417,11.582028857695795,70,3,6.843651240843725,64
RAP,553.6107506461993,9.313498971356227,74,1,4.030319008700237,66
RDD,215.67591051950453,12.11314475873544,74,3,6.972638195599926,66
RDM,612.3822576775432,10.887296065259116,74,1,4.8389301990885105,66
RDU,655.3273148950927,11.111210334662736,64,1,5.418822203437588,64
RFD,1186.8677918424753,10.130801687763713,64,0,-1.3776371308016877,71
