Origin,Description,count(c.Description)
OTH,Carrier,5
EAU,Weather,97
MMH,Weather,185
CPR,Carrier,10
SMX,Weather,23
BZN,Weather,136
MKG,Carrier,12
MKG,National Air System,26
PSC,Weather,148
GCC,Carrier,8
CNY,Weather,28
ESC,Carrier,4
APN,National Air System,11
CDC,Weather,4
AUS,National Air System,273
ISN,Carrier,5
OGG,Weather,45
KOA,Weather,8
SIT,National Air System,1
SCC,Carrier,24
PSG,Weather,28
FAI,Weather,17
CDV,Weather,21
BRW,Weather,75
CDV,Carrier,23
YAK,Carrier,31
OTZ,Weather,104
ADQ,Carrier,11
LGB,National Air System,117
MCO,Security,25
MSY,Security,6
HOU,Security,1
ADK,Weather,22
SIT,Carrier,40
PSE,Carrier,37
SJU,National Air System,344
CLL,National Air System,57
MFE,National Air System,79
ABQ,National Air System,81
AEX,National Air System,74
GUC,Carrier,6
MLU,National Air System,49
BIL,Weather,71
ATW,Carrier,33
UST,Weather,8
FSM,National Air System,28
LRD,Carrier,68
FLG,Carrier,24
IAG,Carrier,27
YUM,Carrier,21
CLD,National Air System,1
SBA,National Air System,141
EAU,Carrier,13
LAR,Carrier,13
RDD,National Air System,35
BJI,Weather,18
GUM,Carrier,7
HNL,National Air System,11
LIH,National Air System,2
STX,National Air System,14
DVL,Carrier,13
SGU,Carrier,11
BTM,National Air System,3
EKO,Weather,26
INL,Weather,33
DAB,Carrier,47
HRL,National Air System,43
CSG,Weather,31
ABY,National Air System,9
GRI,Carrier,27
BQN,National Air System,72
IAG,National Air System,3
INL,Carrier,10
IMT,Carrier,2
FAT,National Air System,38
SUN,National Air System,6
SUN,Carrier,228
AVL,National Air System,77
BFL,National Air System,19
MFR,National Air System,87
RNO,National Air System,85
GUM,Weather,11
LCH,National Air System,57
PNS,National Air System,115
ECP,National Air System,41
MKE,Security,2
ACY,National Air System,26
EKO,National Air System,9
SPI,National Air System,40
CMX,National Air System,12
SGU,Weather,29
GFK,Carrier,4
BPT,National Air System,18
BZN,National Air System,9
ECP,Carrier,135
ACK,Weather,57
MLB,Carrier,35
BQK,Weather,41
MQT,Weather,126
LAW,National Air System,13
LBE,National Air System,10
HYA,Carrier,1
GST,Weather,8
BRW,Carrier,32
ACK,Carrier,14
CHO,Security,1
PBG,Carrier,16
EKO,Carrier,3
PIH,Carrier,1
HYS,Carrier,6
OAJ,National Air System,27
TWF,Carrier,5
SIT,Weather,21
SMX,National Air System,4
ISP,National Air System,33
SFO,Security,8
SNA,Security,1
STX,Weather,42
BLI,Carrier,23
OTZ,National Air System,2
ACK,National Air System,33
CSG,National Air System,9
PSE,National Air System,37
BTM,Carrier,2
OTH,National Air System,12
GUM,National Air System,2
MIA,Security,4
TPA,Security,4
SAN,Security,10
BGR,Weather,130
LAS,Security,3
ITH,Weather,31
GFK,Weather,94
ACV,National Air System,42
LIH,Weather,10
MMH,National Air System,11
STT,National Air System,41
GEG,National Air System,23
EGE,National Air System,7
FAY,National Air System,18
DAB,National Air System,11
BJI,National Air System,1
GFK,National Air System,3
ABR,National Air System,2
HIB,National Air System,8
INL,National Air System,2
IMT,National Air System,2
RHI,National Air System,8
BRD,National Air System,2
STX,Carrier,10
SGU,National Air System,3
DLG,Carrier,1
ACY,Security,5
BGR,National Air System,169
