Dest,AVG(CarrierDelay),AVG(WeatherDelay),AVG(NASDelay),AVG(SecurityDelay),AVG(LateAircraftDelay),COUNT(carrierDelay),COUNT(WeatherDelay),COUNT(NASDelay),COUNT(SecurityDelay),COUNT(LateAircraftDelay)
LBE,3.1220,0.7249,5.7165,0.0499,5.0159,493,70,843,9,447
MRY,4.3529,0.4223,1.5992,0.0153,6.7174,1249,85,1560,15,2057
SBA,4.3158,0.5180,1.5209,0.0153,6.0831,2529,187,2947,18,3704
SBP,4.4411,0.6570,1.6035,0.0156,6.3463,1501,136,2061,13,2401
GCC,3.7418,0.5267,1.1562,0.0042,3.4117,263,39,301,1,369
JMS,6.3312,1.9329,1.5218,0.0038,3.1847,270,64,313,2,310
PIA,4.6208,1.2368,1.8975,0.0050,5.0570,1784,382,2012,5,2051
MOT,4.2322,1.3524,1.6065,0.0045,3.2289,612,93,766,1,761
SUN,2.8426,1.0334,1.1863,0.0031,2.0496,380,60,383,2,356
RAP,3.9158,1.2632,1.7218,0.0080,3.9300,1495,274,1603,4,1545
DRO,4.0210,0.8268,1.5115,0.0350,4.7004,1048,162,1036,12,1082
ISN,2.9820,0.6821,1.6275,0.0000,2.4331,407,64,540,0,482
SAF,6.4715,0.3802,1.6848,0.0124,3.7435,701,59,691,3,587
PAH,6.9620,0.6270,1.7624,0.0000,5.9379,330,34,400,0,488
PUB,7.2097,0.9123,1.8896,0.0102,4.0984,139,23,181,1,172
GFK,3.4983,1.7050,1.2745,0.0305,2.8596,439,79,438,6,494
CLD,2.5391,0.3953,1.0781,0.0000,4.0625,36,3,52,0,64
FWA,5.4082,1.1205,1.8803,0.0204,6.6339,2536,505,2868,12,3598
SBN,5.5773,1.2659,1.8695,0.0070,6.5493,2381,375,2607,5,3408
CID,4.2982,1.0719,2.0093,0.0102,4.5198,3203,699,3415,11,3313
FCA,3.2450,0.4933,1.2139,0.0061,3.0692,864,112,818,3,776
LAN,5.0851,0.8449,1.8220,0.0054,4.3280,1054,185,1158,2,1203
CMX,5.5101,2.8826,2.1355,0.0123,5.8350,318,67,349,1,421
RDM,4.6091,0.7847,1.3787,0.0159,5.2565,1182,93,1373,8,1745
ASE,7.0317,2.1084,3.4283,0.0391,5.5020,2652,536,3333,15,3000
ACV,6.1968,1.6513,1.5000,0.0000,7.7888,607,116,716,0,1064
YUM,3.4911,0.1052,0.7398,0.0247,2.8982,511,22,480,8,563
FLG,3.1803,0.4369,0.9479,0.0390,3.0247,444,47,518,14,535
ERI,4.6734,1.1484,1.7182,0.0002,4.5404,408,78,431,1,500
IAG,3.3448,0.9690,2.9142,0.1150,2.5044,201,31,275,7,148
RDD,5.6656,0.2542,1.2477,0.0000,7.1329,430,20,476,0,758
STC,2.7218,0.9091,2.7521,0.0579,5.4132,28,7,45,1,42
TVC,5.1750,0.9759,1.9628,0.0089,4.4299,1494,266,1569,4,1574
GTF,3.0621,0.6866,0.9206,0.0000,2.2794,466,70,451,0,492
EUG,4.0052,0.4499,1.3535,0.0074,5.4295,1735,155,1716,2,2253
IDA,3.2735,0.5603,1.0102,0.0046,2.5362,688,88,650,3,697
MLI,4.8244,0.8713,1.9660,0.0097,4.6078,1942,313,1883,6,1873
BFL,4.5571,0.3347,1.3043,0.0395,5.8007,979,69,999,14,1334
CPR,2.4470,0.5273,0.8656,0.0035,1.9554,284,46,278,1,304
LNK,4.3670,0.6216,2.1275,0.0255,3.8684,1031,134,1221,4,1081
LSE,3.6645,1.0204,2.4101,0.0148,4.1934,596,174,970,3,815
RKS,3.4579,0.8409,1.1348,0.0326,4.4210,198,39,232,2,298
LAR,7.7747,1.4129,1.2087,0.0083,3.4011,218,31,232,1,256
EAU,5.3916,0.8171,1.9856,0.0000,5.8801,332,38,308,0,400
MKG,6.0144,1.1140,1.5496,0.0000,4.8079,331,52,315,0,365
MBS,5.3338,1.4982,1.6197,0.0091,4.7785,960,165,897,2,1075
