Tail_Number,AVG(TaxiIn)
N762AS,4.1600
N768AS,4.1823
N508AS,6.9057
N796AS,5.5332
N788AS,5.4553
N792AS,5.4373
N799AS,5.5363
N713AS,5.3338
N644AS,5.5155
N769AS,5.4012
N708AS,5.3320
N431AS,7.9451
N577AS,6.9059
N440AS,7.8681
N532AS,6.8908
N764AS,4.1818
N592AS,7.1226
N323AS,7.9770
N619AS,5.6765
N528AS,6.8930
N584AS,7.0290
N309AS,7.8292
N556AS,6.9983
N570AS,7.0737
N303AS,7.7955
N568AS,7.1276
N593AS,6.9488
N461AS,7.8780
N457AS,8.0135
N467AS,7.9117
N471AS,7.8508
N442AS,7.8915
N767AS,5.3660
N315AS,7.8443
N319AS,7.8223
N530AS,7.1011
N613AS,5.6026
N756AS,5.4438
N797AS,5.2949
N795AS,5.5834
N607AS,5.5728
N705AS,5.4605
N703AS,5.4647
N548AS,7.0815
N622AS,5.6570
N791AS,5.3502
N609AS,5.6328
N786AS,5.3021
N551AS,7.0189
N529AS,6.9666
N520AS,7.0592
N552AS,6.9829
N618AS,5.5630
N760AS,5.4440
N706AS,5.4817
N516AS,7.1855
N589AS,7.1058
N533AS,7.0580
N553AS,7.0548
N579AS,7.0245
N302AS,7.7497
N525AS,6.9327
N435AS,7.8485
N462AS,7.7927
N408AS,7.9618
N433AS,7.8391
N307AS,7.8477
N563AS,6.9856
N794AS,5.4349
N625AS,6.6099
N611AS,5.6288
N615AS,5.5238
N627AS,6.5355
N614AS,5.4552
N468AS,7.8956
N519AS,7.0269
N306AS,7.8671
N403AS,7.9001
N318AS,7.8771
N513AS,7.1082
N626AS,6.5609
N512AS,6.9800
N409AS,7.7802
N317AS,7.8840
N596AS,7.1571
N534AS,7.1207
N612AS,5.5954
N423AS,7.7659
N586AS,6.9022
N524AS,6.9226
N557AS,6.9761
N588AS,7.1216
N583AS,6.9352
N587AS,7.0190
N558AS,7.0138
N597AS,6.9935
N559AS,6.9574
N560AS,6.9814
N566AS,6.9702
N531AS,6.9952
N537AS,6.9979
N585AS,7.0643
N518AS,6.7931
N535AS,6.9245
N538AS,7.0060
N765AS,4.1728
N763AS,4.1420
N506AS,7.0772
N793AS,5.3336
N779AS,5.3481
N778AS,5.5755
N564AS,7.0142
N549AS,7.3251
N715JB,6.6846
N834JB,6.7918
N585JB,6.6835
N552JB,6.5990
N805JB,6.7528
N709JB,6.5808
N760JB,6.8312
N607JB,6.6485
N663JB,6.6602
N589JB,6.7951
N618JB,6.6619
N659JB,6.7966
N705JB,6.6563
N806JB,6.6895
N523JB,6.7763
N625JB,6.8360
N623JB,6.7919
N562JB,6.7974
N536JB,6.6935
N506JB,6.8294
N519JB,6.7921
N524JB,6.8307
N640JB,6.6711
N586JB,6.8049
N346JB,6.2244
N633JB,6.6619
N766JB,6.7831
N657JB,6.6594
N775JB,6.5894
N706JB,6.6193
N784JB,6.6101
N645JB,6.8324
N712JB,6.6713
N637JB,6.7180
N746JB,6.7973
N635JB,6.8845
N537JB,6.6451
N563JB,6.5357
N593JB,6.6861
N729JB,6.5648
N505JB,6.6767
N599JB,6.6950
N595JB,6.9343
N503JB,6.7678
N608JB,6.7888
N656JB,6.6422
N627JB,6.8393
N913JB,7.6353
N903JB,7.5253
N907JB,7.5047
N905JB,7.6477
N566JB,6.7688
N510JB,6.6936
N588JB,6.6850
N556JB,6.5853
N612JB,6.6571
N504JB,6.7531
N644JB,6.8114
N526JB,6.5486
N527JB,6.6281
N646JB,6.7913
N565JB,6.6356
N636JB,6.6638
N605JB,6.7496
N583JB,6.7491
N559JB,6.8095
N597JB,6.5877
N353JB,6.3004
N323JB,6.2902
N281JB,6.0915
N348JB,6.2981
N292JB,6.1954
N274JB,5.9705
N179JB,6.1421
N206JB,6.0799
N351JB,6.2940
N193JB,6.2003
N318JB,6.3375
N304JB,6.0762
N249JB,5.9964
N316JB,6.1006
N339JB,6.2247
N294JB,6.1504
N324JB,6.3893
N231JB,6.0984
N373JB,6.4198
N178JB,5.9333
N355JB,6.4278
N641JB,6.7102
N568JB,6.6149
N794JB,6.5971
N648JB,6.7238
N655JB,6.6785
N587JB,6.6331
N624JB,6.7510
N708JB,6.6910
N516JB,6.8280
N634JB,6.7389
N521JB,6.6867
N579JB,6.7235
N651JB,6.6779
N613JB,6.7657
N796JB,6.6719
