Origin,ArrDelay
ROW,3.3676408301567133
RST,7.526827012025902
RSW,3.693864951768489
SAF,7.337299465240641
SAN,2.7739863394698503
SAT,2.3982033214763123
SAV,5.800486918476439
SBA,6.479209270620314
SBN,5.55732462407294
SBP,9.137973681606807
SCC,-5.135067873303168
SCE,6.875621118012423
SCK,15.973063973063972
SDF,4.516562220232767
SEA,1.7059697218343768
SFB,5.973937844217152
SFO,6.884805370507539
SGF,8.315773436706504
SGU,0.8079313872059171
SHD,15.326277372262775
SHV,6.922464509528073
SIT,-1.1827752595408685
SJC,3.180474093357343
SJT,3.601990788887238
SJU,4.7641063344039
SLC,0.12462334741425296
SLN,21.190388170055453
SMF,3.301779394111211
SMX,8.486026731470231
SNA,2.0109491865217057
SPI,7.426801117725671
SPN,-1.3146374829001368
SPS,3.1951168614357264
SRQ,6.070765894212619
STC,12.739010989010989
STL,4.472454453763492
STS,6.090534979423868
STT,1.4304744798682831
STX,1.0361653272101032
SUN,4.544256704386917
SUX,11.22383451682618
SWF,13.312991506763133
SWO,0.6903341288782816
SYR,3.4981580818199443
TKI,0.0
TLH,2.980447732513451
TOL,4.007517418408508
TPA,4.532992827039549
TRI,3.5714405500586954
TTN,9.651105461828827
TUL,2.8540098708499033
TUS,2.51032206722217
TVC,7.0855679421512505
TWF,-0.6346562721474132
TXK,3.793057110862262
TYR,2.830502885408079
TYS,5.826468358543013
UIN,12.032238442822385
USA,15.619409282700422
UST,14.593023255813954
VEL,2.7369791666666665
VLD,5.366444073455759
VPS,3.9738738132112315
WRG,-0.36466372657111357
WYS,4.6426735218509
XNA,7.483603302330442
XWA,21.531400966183575
YAK,-6.7113630080176945
YNG,75.0
YUM,-0.18289594843462248
