Tail_Number,AVG(TaxiOut)
N368JB,16.7510
N197JB,17.1260
N374JB,16.9852
N337JB,16.9295
N279JB,17.1571
N247JB,16.8898
N187JB,17.2379
N284JB,17.1598
N192JB,17.0802
N239JB,17.3732
N571JB,17.1154
N615JB,17.1641
N652JB,17.0826
N298JB,17.1554
N296JB,16.8597
N266JB,17.3249
N317JB,16.7827
N236JB,17.0981
N529JB,16.8970
N630JB,16.9669
N580JB,17.1798
N507JB,17.1029
N703JB,16.7375
N564JB,17.0619
N198JB,16.9884
N228JB,17.0332
N307JB,16.7838
N358JB,16.9415
N354JB,17.0374
N283JB,17.0017
N375JB,16.8889
N273JB,17.0970
N190JB,17.0009
N306JB,17.2390
N606JB,17.1599
N258JB,16.8604
N238JB,16.9967
N216JB,16.8100
N309JB,17.0565
N183JB,17.0843
N334JB,16.7927
N203JB,17.0361
N329JB,16.8732
N229JB,17.0530
N265JB,17.1963
N325NB,17.3450
N343NB,18.4728
N335NB,17.0260
N341NB,18.0705
N356NW,18.0002
N373DA,17.5913
N314NB,16.8723
N547US,17.5675
N309US,17.8280
N144DA,19.2572
N128DL,19.1042
N319US,17.6711
N553NW,17.4796
N933AT,17.0633
N937AT,16.7305
N399DA,17.3539
N381DN,17.6390
N3756,17.7868
N6701,17.4113
N194DN,22.6279
N155DL,23.3365
N710TW,23.2608
N190DN,24.3126
N706TW,23.2732
N178DN,23.3139
N967DL,16.2664
N180DN,23.2331
N713TW,22.8888
N3752,17.6606
N995AT,16.8658
N624AG,23.1993
N686DA,17.7121
N718TW,23.3226
N811DZ,17.6079
N703TW,23.2143
N3734B,17.8795
N6704Z,17.6598
N925DL,17.1714
N955DL,16.6977
N3762Y,17.8857
N699DL,17.7392
N388DA,17.7644
N3758Y,17.5334
N894AT,16.8887
N712TW,23.4292
N196DN,22.9577
N723TW,23.1568
N914DL,16.8874
N3749D,17.5736
N910DE,16.2693
N929AT,16.8309
N380DA,18.0647
N702TW,23.2136
N336NW,17.6586
N124DE,18.6133
N674DL,17.9254
N365NW,17.5300
N551NW,17.6116
N914DE,17.0163
N375NC,17.6579
N67171,17.5834
N913DN,16.7100
N919DE,16.8465
N923DL,16.8652
N678DL,17.3152
N915DE,16.5243
N660DL,17.1487
N943DL,16.7450
N3751B,18.0488
N695DL,17.4194
N3766,17.6658
N318NB,17.5307
N557NW,17.5083
N323NB,17.2863
N651DL,17.6411
N187DN,22.5575
N192DN,23.1621
N375DA,17.8036
N947DL,16.7448
N6702,17.7593
N824DN,17.4448
N935AT,16.7269
N607AT,17.0699
N818DA,17.2486
N974DL,16.3121
N943DN,16.8921
N334NB,16.9699
N904DA,17.0512
N946DL,16.7895
N3733Z,17.6862
N944DL,16.6335
N957DN,17.0616
N336NB,16.9088
N3773D,17.6388
N661DN,17.9297
N935DN,16.7330
N341NW,17.6960
N965DN,17.1946
N314US,16.6079
N374DA,17.5181
N342NW,17.8658
N371NB,17.0684
N933DN,16.8917
N810DN,17.2261
N927AT,17.1838
N302DQ,15.6449
N903DA,16.8154
N918DE,16.6369
N345NW,17.7601
N329NB,17.1893
