Dest,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
BJI,51.9091,14.5455,21.1429,54.4,65.3846,32.8462,28.25,59.75,21.7778,42.1429,114.1429,27.8333,51.5625,54.5,25.2,31.125,40.5,44.5714,118.0,98.7692,140.25,21.4286,59.8,115.1667,38.3636,32.5,47.6,108.6,212.3333,37.0909,15.6,86.3846,20.0,43.625,22.75,69.3684,46.3684,32.6667,14.0,55.25,44.3333,30.8889,62.0,126.0,47.9091,15.3333,37.0,84.25,178.4,87.8889,21.25,73.6667,13.5,43.5,49.75,90.0,45.0,23.5455,22.125,75.6667
BKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,64.75,51.5,39.0,17.6667,23.3333,,,,,91.5,56.6,33.2222,68.1,28.6667,65.4,33.5556,56.0,
BLI,18.1111,29.7895,29.6667,21.125,9.3333,3.0,,20.8889,,,25.8824,18.68,33.0526,61.375,43.7778,41.9286,15.0,,,,,,7.9167,24.8108,27.0,36.3182,13.3462,11.8571,37.1875,21.5,,,,44.1887,37.7931,34.3871,46.8889,56.2821,21.7241,36.7407,29.7143,52.5,38.8444,22.7436,40.2381,57.8,29.0789,31.1905,52.1579,38.4483,24.3725,41.5208,24.3714,27.7059,25.4722,30.4634,19.8846,25.2222,64.1667,21.1053
BLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7273,39.25,58.6061,42.6538,26.6176,48.4203,50.4,43.2,24.1667,27.2727,41.3333,32.25,20.1905,50.6471,44.9444,46.32,33.7619,52.0,33.2857,78.4848,37.1538,30.7857,55.8667,31.4286
BMI,41.3,37.6555,37.964,41.8222,34.3776,33.3952,28.3483,31.9619,31.8514,23.4655,36.2586,36.2,44.7333,68.8,30.7097,25.2917,25.2222,48.9111,53.2093,37.0233,32.2593,40.8571,40.6154,41.9688,100.2174,21.0645,53.2712,65.2963,61.4844,37.8361,54.4932,40.8868,74.4444,49.8704,54.9474,49.7949,72.7895,65.4091,47.6875,72.0167,46.6212,49.4396,42.3014,67.5513,55.75,41.1702,43.2162,63.2597,35.2037,86.9385,44.1014,32.7465,51.8947,62.87,56.3182,45.6023,37.2745,39.197,63.0345,41.9011
BNA,30.492,28.5808,27.5348,25.0887,30.5205,33.0432,32.9177,28.6429,24.4253,24.5921,25.1189,31.8872,24.3527,26.4315,26.5628,25.0657,27.5878,34.5522,41.8938,31.6909,24.6588,23.1198,22.9645,32.5642,32.9301,25.4099,26.9374,32.7965,28.8067,35.1149,33.8694,30.4001,24.4714,25.763,22.5476,32.4303,31.5777,28.8991,25.1479,31.9786,34.0368,35.7631,37.7474,36.9093,31.7029,28.7543,30.2561,29.6488,32.2325,36.4343,30.1563,33.5598,35.5471,37.5593,36.2829,34.1735,27.7397,27.9588,27.3389,30.2923
BOI,32.6716,32.1006,24.2754,29.5539,28.7423,37.1025,34.9247,30.0535,30.9525,28.9701,31.6728,32.9354,32.547,34.3015,32.4483,29.175,28.516,34.2183,35.0902,29.7443,23.215,27.5282,27.6118,41.9251,40.5504,35.3089,32.5371,35.6005,27.8492,30.9958,26.8657,34.7041,27.0613,32.1841,36.3571,29.6766,37.3477,30.3827,26.8621,30.0,37.206,35.9259,30.0398,38.8413,30.6103,31.5592,31.3112,34.3869,36.5695,38.0265,31.6336,35.5923,37.0704,34.3076,37.6329,34.4536,31.2444,28.8468,37.2805,37.9144
BOS,31.1426,43.0696,34.2707,29.756,34.1286,37.9621,36.0647,37.0011,30.5422,28.3214,28.642,38.7571,32.0305,43.7436,31.8406,35.3874,29.5235,35.3456,42.3028,39.8716,35.6407,30.7349,27.8519,36.2859,37.3041,35.4237,37.2131,45.0842,54.8041,59.5064,52.6491,40.9243,44.315,37.8486,26.9162,41.1058,47.3756,33.3982,37.3294,45.3152,38.5563,42.6454,50.388,53.7973,45.554,44.6091,43.681,39.9821,63.0619,53.4184,52.3632,52.5572,45.4143,49.7766,56.2935,52.9397,41.5527,45.7016,37.4355,60.1799
BPT,34.6222,28.1613,47.8438,30.8,24.3077,28.4634,28.9688,56.3462,41.9565,38.2105,45.3846,75.1923,34.5,31.8889,58.5294,57.2778,72.1304,107.9231,41.0,59.5714,,,,48.5455,101.0,,,,,,,,,,,,53.1818,44.4167,35.1667,63.0,24.9375,34.1667,57.8235,38.2,45.2727,55.1818,19.9091,29.2,34.75,22.5263,34.1429,41.7143,55.6786,34.9333,56.5556,52.5263,23.3333,26.0,48.4545,92.1538
BQK,29.2105,54.375,31.7576,27.8519,35.1579,32.8182,30.0,32.1154,38.7857,36.2424,37.1304,39.931,45.7727,52.7,50.0,41.75,29.8235,29.8182,67.9667,43.4688,58.1429,59.8571,20.2609,79.5455,87.0385,54.3684,50.3429,47.8182,29.1923,44.8182,18.8077,113.5,,21.75,34.0,,44.7778,29.9231,35.9474,63.4545,41.1333,40.0455,51.4286,30.8462,28.8462,12.3529,32.2857,104.6087,80.7333,62.1923,27.9167,44.2917,45.32,48.2162,44.1875,40.6774,29.6667,31.0417,37.5714,67.8636
